2020.findings-emnlp.117	D19-1107	0.925439
2020.tacl-1.13	N18-1059	0.945937
2020.tacl-1.48	N19-1421	0.880809
2021.acl-long.74	D13-1160	0.6734
2021.acl-long.74	D19-1394	0.829096
2021.acl-long.74	P17-1003	0.918354
2021.acl-long.74	P15-1129	0.892358
2021.eacl-main.25	N19-1233	0.722846
2021.emnlp-main.646	2020.acl-main.89	0.901049
2021.emnlp-main.646	2020.emnlp-main.248	0.77017
2021.emnlp-main.646	2020.tacl-1.48	0.67895
2021.emnlp-main.843	2020.findings-emnlp.225	0.86557
2021.emnlp-main.843	P15-1129	0.845394
2021.naacl-main.29	D13-1160	0.650395
2021.naacl-main.29	P17-1003	0.846172
2021.naacl-main.29	P18-1168	0.89511
2021.spnlp-1.2	D13-1160	0.654199
2021.spnlp-1.2	P17-1003	0.847865
2021.sustainlp-1.5	N19-1421	0.871219
C10-1087	D09-1110	0.818491
C18-1014	N18-2088	0.888673
D12-1018	J12-1003	0.714129
D13-1177	J12-1003	0.5
D14-1159	D13-1160	0.289643
D14-1159	D13-1177	0.941392
D18-1190	P14-1133	0.815706
D18-1190	Q15-1039	0.845012
D18-1190	P18-1168	0.843123
D18-1190	P17-2098	0.910016
D18-1190	N18-1066	0.841268
D18-1190	P15-1129	0.893218
D19-1107	N19-1421	0.810675
D19-1378	P19-1448	0.90392
D19-1378	D18-1190	0.893009
D19-1394	P17-2098	0.869341
D19-1394	D18-1190	0.90589
D19-1394	P15-1129	0.948404
D19-5815	N18-1059	0.835931
D19-5815	P19-1485	0.878847
J12-1003	P10-1124	0.845704
J12-1003	P11-1062	0.416945
J15-2003	P12-1013	0.818566
J15-2003	P10-1124	0.927307
J15-2003	P11-1062	0.894287
J15-2003	J12-1003	0.780195
J15-2003	P14-1133	0.802761
J15-2003	P13-1131	0.856715
J15-2003	D12-1018	0.894504
J15-2003	P12-2031	0.930862
K19-1042	D14-1159	0.825604
N18-1059	D13-1160	0.90721
N18-1059	Q15-1039	0.852631
N18-1059	S17-1020	0.724066
N18-1059	P15-1129	0.862932
N18-1066	P17-2098	0.837602
N18-1066	D13-1160	0.747
N19-1193	P18-1168	0.832145
N19-1193	P17-1003	0.839658
P11-1062	P10-1124	0.843876
P12-1013	P10-1124	0.934057
P12-1013	P11-1062	0.797113
P12-2031	P10-1124	0.824564
P12-3014	P10-1124	0.82554
P13-1131	P11-1062	0.885173
P13-1131	P12-2031	0.821446
P14-1133	D13-1160	0.864467
P15-1129	P14-1133	0.955127
P15-1129	D13-1160	0.752966
P17-1003	D13-1160	0.219306
P17-1003	Q15-1039	0.669596
P17-1003	P15-1129	0.0364946
P17-2098	P14-1133	0.722811
P17-2098	Q15-1039	0.833763
P17-2098	P15-1129	0.14768
P18-1168	D13-1160	0.614264
P18-1168	P17-1003	0.223245
P19-1485	D14-1159	0.826906
P19-1485	N18-1059	0.934121
P19-1485	S17-1020	0.847511
Q15-1039	P14-1133	0.716721
Q15-1039	D13-1160	0.830462
S17-1020	D13-1160	0.748774
S17-1020	Q15-1039	0.837992
S17-1020	W14-2416	0.936475
W14-2416	P14-1133	0.0366645
W14-2416	D13-1160	0.915633
