2008.iwslt-evaluation.13	2007.iwslt-1.16	0.843688
2010.iwslt-evaluation.19	2010.iwslt-papers.5	0.5
2011.mtsummit-papers.11	2010.iwslt-papers.5	0.759658
2011.mtsummit-papers.36	W10-1736	0.779822
2013.iwslt-evaluation.12	P13-2119	0.927042
2013.iwslt-evaluation.12	I11-1153	0.737728
2013.iwslt-evaluation.12	D10-1092	0.836115
2013.iwslt-evaluation.12	P12-1001	0.853229
2014.amta-researchers.18	I13-1147	0.845609
2014.amta-researchers.18	W10-1736	0.907546
2014.amta-researchers.18	D13-1021	0.223791
2014.iwslt-evaluation.18	P13-2119	0.840496
2014.iwslt-evaluation.18	I11-1153	0.863598
2014.iwslt-evaluation.18	2011.mtsummit-papers.36	0.801283
2014.iwslt-evaluation.18	D13-1139	0.77246
2014.iwslt-evaluation.18	2013.iwslt-evaluation.12	0.5
2021.humeval-1.5	2020.acl-main.327	0.753728
2021.iwslt-1.1	2021.iwslt-1.27	0.721453
D10-1092	W10-1736	0.720649
D13-1139	2011.mtsummit-papers.36	0.941844
I11-1004	D10-1092	0.904154
I11-1004	W10-1736	0.754264
I11-1153	D10-1092	0.905756
I11-1153	W10-1736	0.870667
I13-1147	D10-1092	0.935952
I13-1147	W10-1736	0.956068
P12-1001	D10-1092	0.861646
P13-2119	D10-1092	0.436516
P13-2119	2010.iwslt-papers.5	0.84743
P15-2023	D13-1139	0.949755
P15-2023	I13-1147	0.859223
P15-2023	D10-1092	0.885359
P15-2023	W10-1736	0.961659
P15-2023	2011.mtsummit-papers.36	0.933737
W12-4207	D10-1092	0.926453
W12-4207	W10-1736	0.0700138
W12-4207	I11-1004	0.873372
W12-4213	W10-1736	0.905882
W13-2806	W12-4207	0.839206
W13-2806	D10-1092	0.903219
W13-2806	I11-1004	0.842316
W13-2806	W10-1736	0.962597
W16-4607	P15-2023	0.884694
W16-4607	D10-1092	0.878159
W16-4607	W10-1736	0.91174
W16-4607	2011.mtsummit-papers.36	0.922434
W16-4607	I11-1004	0.876014
W16-4621	P15-2023	0.730929
W16-4621	W15-5012	0.80914
W17-5712	D10-1092	0.7921
Y13-1026	W10-1736	0.929613
Y13-1026	W12-4207	0.931686
Y13-1026	W13-2806	0.816096
