2020.eval4nlp-1.3	N19-4011	0.90337
2020.lrec-1.206	D18-1507	0.638373
2020.lrec-1.206	W16-0404	0.88931
2020.lrec-1.206	D14-1121	0.805267
2020.lrec-1.206	D17-2010	0.825764
2020.lrec-1.206	P17-1087	0.922773
2020.lrec-1.206	E17-2090	0.822566
2020.peoples-1.13	P17-1067	0.7801
C18-1130	P16-1080	0.910573
C18-1130	P16-2051	0.924535
C18-1130	P17-1068	0.771783
C18-1130	D14-1121	0.910766
D12-1019	P12-1024	0.832772
D16-1217	D14-1121	0.829336
D16-1219	W14-3214	0.845748
D17-1248	P16-1080	0.878376
D17-1248	P17-1068	0.846055
D17-1248	W17-2903	0.776183
D17-1248	D14-1121	0.894562
D17-1250	D17-2010	0.819689
D17-2010	W16-0404	0.403608
D17-2010	W15-1205	0.858201
D17-2010	D14-1121	0.298185
D17-2010	W14-3214	0.769622
D17-2010	S13-1042	0.8385
D17-2010	N15-1044	0.849586
D17-2010	D16-1217	0.641174
D18-1145	P18-2032	0.816179
D18-1145	I17-1077	0.843805
D18-1145	D16-1219	0.860524
D18-1145	D17-2010	0.848028
D18-1148	D17-2010	0.855028
D18-1507	D17-2010	0.865835
E17-2090	W16-0404	0.5
N13-1015	P12-1024	0.782914
N13-1015	D12-1019	0.792489
N13-4005	D12-1019	0.5
N13-4005	N13-1015	0.5
N15-1044	D14-1121	0.810387
P16-1080	P16-2051	0.447562
P16-1080	W15-1203	0.252763
P16-1080	D14-1121	0.56599
P16-2051	W15-1203	0.681062
P16-2051	D14-1121	0.783001
P17-1068	P16-1080	0.855564
P17-1068	P16-2051	0.751888
P17-1068	D14-1121	0.787582
P17-2013	P16-1080	0.850033
P18-2032	P17-1068	0.896438
P18-2032	I17-1077	0.860422
P18-2032	D14-1121	0.913685
P18-2032	D17-2010	0.891806
W15-1203	W15-1205	0.892742
W15-1203	D14-1121	0.12773
W15-1203	N15-1044	0.787795
W15-1205	W15-1203	0.90032
W15-1205	D14-1121	0.531179
W17-2903	P16-1080	0.898893
W17-2903	P16-2051	0.843517
W17-2903	P17-1068	0.880867
W17-2903	D14-1121	0.846487
W17-2903	W15-1203	0.871786
W18-0610	P18-2032	0.831545
W18-0610	D17-1248	0.882725
W18-0610	W14-3214	0.769535
W18-0610	D17-2010	0.872904
W18-1104	P17-1067	0.948241
W18-1104	D16-1217	0.763424
W19-3806	N19-1331	0.908137
W19-3808	N19-1331	0.818309
