2020.acl-main.102	D19-1403	0.814385
2020.coling-main.101	P17-1152	0.908432
2020.coling-main.101	W17-5307	0.925613
2020.coling-main.101	C18-1154	0.841234
2020.findings-emnlp.127	D19-1193	0.595805
2021.acl-short.36	2020.acl-main.664	0.586126
2021.emnlp-main.86	P17-1152	0.926676
2021.emnlp-main.86	2020.findings-emnlp.127	0.843972
2021.emnlp-main.86	D19-1193	0.852313
2021.findings-emnlp.171	2021.acl-short.36	0.743665
2021.findings-emnlp.171	2020.acl-main.664	0.715772
2021.findings-emnlp.90	2020.emnlp-main.628	0.847391
C18-1154	P17-1152	0.911507
C18-1154	W17-5307	0.937976
C18-1154	P18-1224	0.784416
D14-2001	S13-2053	0.5
D14-2001	S14-2077	0.5
D14-2001	P14-1029	0.5
D14-2001	S14-2076	0.5
D19-1193	D19-1193	0.0512826
E17-2088	S16-1003	0.596818
E17-2088	S15-1001	0.782275
E17-2088	N16-1106	0.62421
E17-2088	L16-1623	0.5
I11-1057	P09-1062	0.850006
I11-1057	C10-2177	0.418791
L16-1623	S14-2076	0.86144
L16-1623	S13-2053	0.0870714
L16-1623	S16-1003	0.853828
N16-1106	P15-1011	0.825085
N16-1106	S13-2053	0.934402
N16-1106	W14-2607	0.356917
N16-1106	P14-1029	0.918334
N16-1106	S14-2077	0.837611
N16-1106	S15-1001	0.872289
N19-5002	C18-1154	0.852207
N19-5002	P18-1224	0.831291
N19-5002	P17-1152	0.613604
P09-1062	P08-1054	0.852692
P15-1011	S14-2076	0.897642
P15-1011	P14-1029	0.747372
P15-1011	S14-2077	0.880691
P17-1152	P15-1011	0.299019
P17-1152	P14-1029	0.288524
P17-5003	S15-1001	0.84434
P17-5003	N16-1106	0.839768
P18-1224	P15-1011	0.45444
P18-1224	P17-1152	0.37788
P18-1224	W17-5307	0.712456
S14-2076	S13-2053	0.543874
S14-2076	P14-1029	0.61803
S14-2077	S13-2053	0.8504
S14-2077	P14-1029	0.444802
S15-1001	S13-2053	0.937035
S15-1001	P14-1029	0.817739
S16-1003	S14-2076	0.512441
S16-1003	S13-2053	0.777604
S16-1003	L16-1623	0.884636
W11-0324	C10-2177	0.752245
W12-2604	P08-1054	0.728635
W14-2607	S13-2053	0.30783
W17-5307	P15-1011	0.817366
