2020.iwclul-1.7	W17-0606	0.637422
2020.lrec-1.290	R13-1099	0.914482
2020.rdsm-1.6	2020.lrec-1.290	0.828064
2020.rdsm-1.6	I13-1044	0.800013
2020.rdsm-1.6	C14-1174	0.840188
2020.rdsm-1.6	R13-1099	0.869371
C10-1125	vincze-etal-2010-hungarian	0.5
C14-1132	E12-1007	0.924075
C14-1132	W13-4917	0.5
C14-1132	vincze-etal-2010-hungarian	0.5
C14-1174	W10-3001	0.929877
C14-1174	J12-2004	0.923543
C14-1174	W08-0606	0.940658
C14-1174	I13-1044	0.80615
C14-1174	R13-1099	0.784568
E12-1007	vincze-etal-2010-hungarian	0.867873
E17-1034	W13-4917	0.920355
I13-1024	R11-1089	0.901524
I13-1024	E12-1007	0.924702
I13-1024	C10-1125	0.917628
I13-1024	P13-2046	0.917127
I13-1024	vincze-2012-light	0.850036
I13-1024	R13-1099	0.861777
I13-1024	vincze-etal-2010-hungarian	0.5
I13-1038	R11-1089	0.869779
I13-1038	vincze-2012-light	0.837926
I13-1038	R11-1040	0.5
I13-1044	W10-3001	0.937787
I13-1044	J12-2004	0.835083
I13-1044	W08-0606	0.90979
J12-2004	W10-3001	0.879192
J12-2004	W08-0606	0.908141
L16-1459	C14-1174	0.898372
L18-1208	vincze-etal-2010-hungarian	0.778219
L18-1208	E17-1034	0.865126
L18-1208	R13-1099	0.88567
P13-2046	C10-1125	0.899485
P13-2046	W11-0817	0.898653
P13-2046	R11-1040	0.931733
P13-2046	vincze-2012-light	0.827914
P16-2030	I13-1044	0.835158
P16-2030	R13-1099	0.88611
R11-1023	R11-1040	0.761672
R11-1040	C10-1125	0.610087
R11-1089	W11-0817	0.636061
R11-1089	R11-1040	0.763573
R11-2001	C10-1125	0.900321
R11-2001	W11-0817	0.812373
R13-1099	E12-1007	0.927764
R13-1099	vincze-etal-2010-hungarian	0.5
racz-etal-2014-4fx	C10-1125	0.5
racz-etal-2014-4fx	R11-1040	0.5
racz-etal-2014-4fx	vincze-2012-light	0.5
vincze-2012-light	C10-1125	0.5
vincze-2012-light	W10-3001	0.5
vincze-2012-light	W11-0817	0.5
vincze-2012-light	R11-1040	0.5
vincze-2012-light	R11-1089	0.5
vincze-etal-2014-automatic	R13-1099	0.5
vincze-etal-2014-szeged	R13-1099	0.5
W10-3001	W08-0606	0.625107
W10-3105	W10-3001	0.894242
W10-3105	W08-0606	0.912003
W13-4917	R13-1099	0.0375053
W13-4917	vincze-etal-2010-hungarian	0.5
W14-0803	I13-1024	0.765586
W14-0803	R11-1040	0.5
W14-4909	W10-3001	0.941197
W14-4909	J12-2004	0.908848
W14-4909	W08-0606	0.917011
W14-4909	I13-1044	0.912792
W14-4909	C14-1174	0.442629
W14-4909	R13-1099	0.786014
W16-5002	W10-3001	0.918072
W16-5002	J12-2004	0.744245
W16-5002	W08-0606	0.92009
W16-5002	W14-4909	0.701345
W16-5002	I13-1044	0.846284
W16-5002	C14-1174	0.315324
W16-5002	R13-1099	0.892658
W17-0606	2016.gwc-1.20	0.729948
W17-1704	C10-1125	0.793436
W17-1704	R11-1040	0.890663
W17-1705	I13-1024	0.897428
W17-1721	W14-0803	0.830924
W17-6527	E17-1034	0.875699
W18-4925	W17-1705	0.741206
W18-4925	I13-1024	0.84782
