2020.coling-main.498	P17-1071	0.834678
2021.acl-short.33	P19-1215	0.791804
2021.acl-short.33	W13-1907	0.858173
2021.bionlp-1.8	P19-1215	0.613087
2021.bionlp-1.8	W19-5039	0.604137
2021.bionlp-1.8	2020.coling-main.498	0.831345
J07-1005	P06-1106	0.474642
J07-1005	H05-1117	0.471269
J07-1005	W05-0906	0.867725
J07-1005	N06-1049	0.2699
J07-1005	W06-3309	0.515262
L16-1530	J07-1005	0.744215
L16-1530	W13-1907	0.862293
L16-1530	W14-3405	0.848273
L16-1598	W13-1907	0.824693
L16-1598	W14-3405	0.903539
L16-1598	roberts-etal-2014-annotating	0.897313
L16-1598	J07-1005	0.5
N06-1049	H05-1117	0.852196
N06-1049	W05-0906	0.944099
P06-1106	J07-1005	0.5
P19-1215	H05-1117	0.707154
roberts-etal-2014-annotating	J07-1005	0.5
roberts-etal-2014-annotating	W13-1907	0.5
W05-0906	H05-1117	0.796337
W08-0505	P06-1106	0.835703
W14-3405	W13-1907	0.554403
W14-3405	roberts-etal-2014-annotating	0.885243
W14-3405	J07-1005	0.5
W14-3407	W13-1907	0.930305
W19-5039	C16-1104	0.898807
