2020.acl-main.106	2020.acl-main.649	0.800191
2020.acl-main.368	N19-1048	0.840035
2020.acl-main.649	Q18-1003	0.902122
2020.acl-main.649	N16-1080	0.893663
2020.acl-main.649	2020.acl-main.106	0.755808
2020.coling-main.324	Q18-1047	0.863661
2020.coling-main.446	D19-1111	0.875521
2020.coling-main.531	J17-2003	0.900897
2020.coling-main.531	2020.bucc-1.8	0.745542
2020.emnlp-main.358	2020.findings-emnlp.147	0.88524
2020.findings-emnlp.147	P18-1141	0.5
2020.findings-emnlp.71	2020.acl-main.368	0.5
2020.semeval-1.24	D17-1011	0.845675
2021.acl-demo.8	P18-1141	0.904085
2021.acl-demo.8	D17-1011	0.85998
2021.acl-demo.8	2020.findings-emnlp.147	0.882262
2021.acl-long.279	Q18-1003	0.845267
2021.eacl-main.284	P16-1023	0.871506
2021.eacl-main.284	2020.findings-emnlp.71	0.636948
2021.emnlp-main.32	2020.coling-main.488	0.732437
2021.emnlp-main.32	2021.naacl-main.185	0.087624
2021.emnlp-main.555	D19-1173	0.852117
2021.emnlp-main.555	2020.acl-main.628	0.889585
2021.emnlp-main.555	2021.eacl-main.20	0.743157
2021.emnlp-main.555	2021.naacl-main.185	0.734701
2021.emnlp-main.556	2021.eacl-main.20	0.717821
2021.emnlp-main.556	2021.naacl-main.185	0.750902
2021.emnlp-main.556	P19-1086	0.852179
2021.emnlp-main.556	2021.eacl-main.108	0.928368
2021.emnlp-main.665	D17-1011	0.827965
2021.emnlp-main.665	P18-1141	0.851847
2021.emnlp-main.665	2020.findings-emnlp.147	0.899592
2021.emnlp-main.665	P14-1131	0.796545
2021.emnlp-main.665	J98-1004	0.16735
2021.emnlp-main.672	2021.naacl-main.185	0.928937
2021.emnlp-main.697	2020.acl-main.698	0.935731
2021.insights-1.3	2020.findings-emnlp.147	0.917826
2021.insights-1.3	2020.emnlp-main.358	0.811649
2021.insights-1.3	J17-2003	0.835565
2021.naacl-main.186	2020.findings-emnlp.71	0.63844
2021.nlp4convai-1.20	2021.textgraphs-1.2	0.789375
2021.textgraphs-1.2	2020.emnlp-main.577	0.8342
atterer-schutze-2008-inverted	W06-2913	0.5
C10-2070	michelbacher-etal-2010-building	0.875682
C10-2127	C10-2070	0.889348
C10-2127	michelbacher-etal-2010-building	0.873101
C12-1003	C12-2056	0.828652
C12-1003	D11-1143	0.836821
C16-1164	W16-0103	0.856224
C16-1164	Q16-1019	0.0271245
C16-1164	Q14-1002	0.5
C16-1239	N16-1065	0.84114
C18-1200	D15-1083	0.904555
D08-1096	E95-1020	0.857425
D13-1032	J13-1005	0.761979
D15-1155	D11-1143	0.836772
D15-1155	Q14-1002	0.83975
D15-1272	D13-1032	0.912146
D16-1071	W15-2915	0.898423
D16-1071	D15-1272	0.911981
D16-1097	K15-1017	0.890809
D16-1097	N16-1080	0.852389
D16-1097	P16-2090	0.887592
D16-1256	N16-1080	0.873925
D17-1181	C16-1239	0.893305
D17-1181	N16-1065	0.838351
D18-1343	E17-1111	0.901707
D18-1343	D15-1083	0.857189
