2020.emnlp-main.413	2020.emnlp-main.408	0.858005
2021.acl-long.535	W14-4407	0.80133
D11-1062	N10-1045	0.400414
D11-1062	P11-1134	0.520619
D11-1062	W10-0734	0.928539
D14-1168	P13-1048	0.698154
N10-1045	P09-2073	0.304023
N13-1018	N10-1045	0.855593
N13-1018	P11-1134	0.874875
N13-1018	P12-2024	0.873874
N13-1018	D11-1062	0.854152
N13-1018	S12-1053	0.898214
N13-1018	N10-1146	0.5
negri-etal-2012-chinese	D11-1062	0.5
negri-etal-2012-chinese	P11-1134	0.5
negri-etal-2012-chinese	N10-1045	0.5
negri-etal-2012-chinese	W10-0734	0.5
P11-1134	kouylekov-etal-2010-mining	0.859106
P11-1134	N10-1146	0.754403
P11-1134	N10-1045	0.567905
P11-1134	W10-0734	0.473862
P12-2024	W11-2404	0.892041
P12-2024	N10-1045	0.424311
P12-2024	P11-1134	0.505816
P12-2024	W12-3122	0.51127
P12-2024	W10-0734	0.400732
P12-2024	D11-1062	0.47246
P12-2024	S12-1053	0.350796
P14-1115	N13-1018	0.933465
P14-1115	W13-2117	0.874493
S12-1053	N10-1045	0.464787
S12-1053	P11-1134	0.480581
S12-1053	S12-1105	0.885932
S12-1053	P12-2024	0.450645
S12-1053	W12-3122	0.873098
S12-1053	D11-1062	0.47997
S12-1092	kouylekov-etal-2010-mining	0.843845
S12-1092	N10-1146	0.850476
S12-1105	N10-1045	0.802174
S12-1105	P11-1134	0.779175
S12-1105	P12-2024	0.753336
S12-1105	W12-3122	0.893173
S12-1105	W10-0734	0.902251
S12-1105	D11-1062	0.818954
S12-1105	S12-1053	0.839505
S13-2005	N10-1045	0.669554
S13-2005	P11-1134	0.635365
S13-2005	P12-2024	0.83509
S13-2005	W10-0734	0.383734
S13-2005	D11-1062	0.7367
S13-2005	S12-1053	0.323391
S13-2005	negri-etal-2012-chinese	0.5
W10-0734	N10-1045	0.180136
W11-2404	P09-2073	0.78213
W12-3122	N10-1045	0.836751
W12-3122	P11-1134	0.925957
W12-3122	P12-2024	0.497952
W13-2117	D11-1062	0.237432
W13-2117	S12-1053	0.458466
W13-2117	N10-1045	0.261584
W13-2117	P11-1134	0.342034
W13-2117	P12-2024	0.82418
W13-2117	N13-1018	0.755572
W14-4407	W13-2117	0.906723
