2020.lrec-1.727	L16-1688	0.939157
2021.findings-emnlp.259	2021.naacl-main.9	0.759325
adler-etal-2008-tagging	W07-0808	0.5
adler-etal-2008-tagging	P06-1087	0.5
adler-etal-2008-tagging	P06-1084	0.5
C90-3018	P90-1020	0.904586
C92-2096	P90-1020	0.801741
C92-2096	C90-3018	0.902448
D09-1119	P07-1029	0.914318
D09-1119	P06-1087	0.890779
E09-1038	P08-1083	0.830098
E09-1038	adler-etal-2008-tagging	0.917245
E09-1038	P08-1085	0.870295
E09-1038	W07-0808	0.858605
E09-1038	P06-1084	0.5
J13-1007	P06-1084	0.938931
J13-1007	P08-1083	0.932761
J13-1007	adler-etal-2008-tagging	0.954615
J13-1007	P08-1085	0.909226
J13-1007	P11-2124	0.884835
J13-1007	E09-1038	0.850733
J13-1007	W07-0808	0.926302
J97-2001	W96-0501	0.133279
L16-1688	P06-1084	0.745597
L16-1688	adler-etal-2008-tagging	0.816738
L16-1688	W07-0808	0.848775
L16-1688	N10-1115	0.762482
L16-1688	J13-1007	0.905905
L16-1688	P08-1085	0.71637
N06-2027	W05-1602	0.917667
P06-1087	P06-1084	0.892794
P06-1087	W98-1418	0.781308
P07-1029	P06-1084	0.81795
P07-1029	P06-1087	0.5
P08-2060	P07-1029	0.833607
P11-2124	P08-1083	0.819379
P11-2124	P08-1085	0.89567
P11-2124	E09-1038	0.918851
P99-1019	P99-1071	0.762124
P99-1019	W98-1012	0.787071
P99-1019	W98-1418	0.937747
P99-1019	W96-0501	0.893892
P99-1071	W97-0703	0.18292
W00-1428	W96-0501	0.821455
W05-1602	W00-1428	0.884899
W09-3819	P06-1087	0.752163
W09-3819	P08-1085	0.833549
W09-3819	E09-1038	0.913871
W10-1412	W09-3819	0.87354
W10-1412	N10-1115	0.847625
W10-1412	P08-1085	0.824381
W10-1412	P06-1084	0.5
W12-3308	N10-1115	0.843576
W13-3102	W13-3102	0.0512624
