2020.acl-main.386	W18-5408	0.916282
2020.acl-main.610	D18-1523	0.810635
2020.acl-main.610	Q16-1037	0.887341
2020.acl-main.647	Q16-1037	0.5
2020.acl-main.647	W19-3621	0.5
2020.acl-main.647	N19-1061	0.5
2020.bionlp-1.3	2020.acl-demos.3	0.637968
2020.bionlp-1.3	2020.acl-demos.7	0.793599
2020.blackboxnlp-1.5	2020.acl-main.647	0.824151
2020.insights-1.17	P18-2103	0.842896
2020.tacl-1.48	Q19-1030	0.843319
2020.tacl-1.48	Q16-1037	0.865635
2021.acl-demo.25	2020.acl-demos.3	0.839991
2021.acl-demo.25	2020.bionlp-1.3	0.865704
2021.acl-long.570	2021.mtsummit-at4ssl.1	0.805889
2021.conll-1.15	2020.acl-main.647	0.805284
2021.eacl-main.128	2020.acl-demos.3	0.875508
2021.emnlp-main.108	N19-1236	0.88712
2021.emnlp-main.133	2020.acl-main.43	0.830634
2021.emnlp-main.133	P18-2117	0.834048
2021.emnlp-main.819	D19-1107	0.845982
2021.emnlp-main.819	P18-2103	0.791043
adler-etal-2008-tagging	P06-1087	0.5
C12-1059	N10-1115	0.570932
C16-1256	P14-2050	0.91331
C18-2013	P14-2050	0.891021
D09-1119	P07-1029	0.914318
D09-1119	P06-1087	0.890779
D15-1158	P13-2017	0.891373
D15-1158	P14-2050	0.811582
D16-1211	C12-1059	0.947246
D16-1211	Q13-1033	0.93704
D16-1211	Q14-1010	0.946318
D16-1211	W13-5709	0.953811
D16-1211	W13-3518	0.840178
D19-1107	P18-2114	0.829918
D19-1107	P18-2103	0.854507
E09-1038	P08-1083	0.830098
E09-1038	adler-etal-2008-tagging	0.917245
E09-1038	P08-1043	0.708181
E09-1038	P08-1085	0.870295
E17-1072	Q15-1016	0.0780471
E17-2055	D16-1003	0.847083
E17-2055	D16-1211	0.848424
E17-2055	Q16-1023	0.898682
J13-1007	P08-1083	0.932761
J13-1007	adler-etal-2008-tagging	0.954615
J13-1007	P11-2037	0.903779
J13-1007	P08-1085	0.909226
J13-1007	P11-2124	0.884835
J13-1007	P08-1043	0.722051
J13-1007	E09-1038	0.850733
J14-2001	C12-1059	0.847816
J14-2001	Q13-1033	0.843482
J14-2001	P13-2017	0.886031
J17-2002	W13-5709	0.94387
J17-2002	P11-2124	0.874063
J17-2002	C12-1059	0.936735
J17-2002	Q13-1033	0.949811
J17-2002	Q14-1010	0.935088
J17-2002	P08-1043	0.846251
J17-2002	P13-2111	0.891593
J17-2002	W13-3518	0.937487
J17-2002	J17-2002	0.0512826
J17-2002	W13-4917	0.910835
K17-1003	P16-2038	0.749856
K17-1003	Q16-1037	0.693621
K17-3022	L16-1262	0.853436
K17-3022	Q13-1033	0.85172
K17-3022	Q16-1032	0.762352
K17-3022	Q16-1023	0.778627
K19-1043	E17-2067	0.84804
L16-1262	P13-2017	0.877648
N19-1236	W17-4912	0.789975
N19-1356	K17-1003	0.895435
N19-1356	Q16-1037	0.896285
N19-1356	L16-1262	0.891305
N19-1356	W18-5412	0.766515
P07-1029	P06-1087	0.5
P08-1043	P08-1083	0.870844
P08-1043	P07-1029	0.791089
P08-1043	tsarfaty-goldberg-2008-word	0.785506
P08-2060	P07-1029	0.833607
P11-2037	P11-2124	0.842048
P11-2037	P08-1043	0.833705
P11-2124	P08-1083	0.819379
P11-2124	P11-2037	0.894174
P11-2124	P08-1043	0.867707
P11-2124	P08-1085	0.89567
P11-2124	E09-1038	0.918851
P13-2111	N10-1115	0.839844
P14-2050	Q13-1033	0.350488
P14-2050	W14-1618	0.448246
P14-2050	W12-3308	0.490614
P14-2050	C12-1059	0.5
P16-2067	Q16-1023	0.732171
P18-2117	P17-2021	0.77808
Q13-1033	N10-1115	0.92174
Q13-1033	C12-1059	0.160773
Q14-1010	C12-1059	0.845131
Q14-1010	Q13-1033	0.768824
Q15-1016	P14-2050	0.2029
Q15-1016	W14-1618	0.194781
Q16-1023	D16-1211	0.826355
Q16-1023	C12-1059	0.813978
Q16-1023	Q13-1033	0.901389
Q16-1023	Q16-1032	0.825275
Q16-1023	N15-1163	0.769177
Q16-1032	N10-1115	0.814654
Q16-1032	C12-1059	0.840475
Q16-1032	Q13-1033	0.951891
Q16-1037	Q16-1023	0.5
S13-1035	W12-3308	0.756407
tsarfaty-goldberg-2008-word	P08-1043	0.5
W09-3819	P06-1087	0.752163
W09-3819	P08-1085	0.833549
W09-3819	E09-1038	0.913871
W10-1401	W10-1412	0.240586
W10-1401	E09-1038	0.7929
W10-1401	P08-1043	0.5
W10-1412	W09-3819	0.87354
W10-1412	N10-1115	0.847625
W10-1412	P08-1085	0.824381
W12-3308	N10-1115	0.843576
W13-3518	N10-1115	0.466464
W13-3518	C12-1059	0.35868
W13-4917	P08-1083	0.743016
W13-4917	W10-1412	0.789087
W13-4917	N10-1115	0.576439
W13-4917	P08-1085	0.364225
W13-4917	E09-1038	0.867766
W13-4917	W10-1401	0.779419
W13-5709	C12-1059	0.217014
W13-5709	Q13-1033	0.856807
W13-5709	P13-2017	0.882722
W14-1618	P14-2050	0.310233
W18-5412	Q16-1023	0.870669
W18-5412	Q16-1037	0.856665
W19-3622	E17-2067	0.5
W19-3807	W17-4912	0.819795
W19-8645	N19-1236	0.715961
