2004.tmi-1.1	2003.mtsummit-semit.12	0.754901
2010.amta-srw.4	2004.tmi-1.1	0.873797
C10-1002	C10-2144	0.896562
C10-1002	tsvetkov-wintner-2010-automatic	0.724379
C10-2144	C10-1002	0.846835
C10-2144	kirschenbaum-wintner-2010-general	0.746778
C10-2144	2004.tmi-1.1	0.829747
C10-2144	tsvetkov-wintner-2010-automatic	0.82909
C10-2144	D11-1077	0.5
C10-2144	D11-1034	0.5
D07-1046	W04-3246	0.854937
D07-1046	J08-3005	0.5
D11-1034	tsvetkov-wintner-2010-automatic	0.801255
D11-1034	E12-1026	0.5
D11-1077	tsvetkov-wintner-2010-automatic	0.755171
D11-1077	C10-2144	0.908499
D11-1077	kirschenbaum-wintner-2010-general	0.5
D11-1077	C10-1002	0.5
D18-1395	P16-1176	0.889736
D18-1395	P17-1049	0.849945
D18-1395	Q18-1024	0.825811
D18-1395	Q15-1030	0.93534
D18-1395	W13-1736	0.803253
D19-1425	D18-1395	0.84017
D19-1425	Q18-1024	0.909604
E09-1050	2004.tmi-1.1	0.896304
E09-1050	itai-etal-2006-computational	0.83773
E12-1026	D11-1034	0.662151
E17-1101	Q15-1030	0.83956
itai-etal-2006-computational	2004.tmi-1.1	0.5
itai-etal-2006-computational	W05-0702	0.5
J06-1004	W05-0702	0.878938
J08-3005	W04-3246	0.337041
J11-1003	P06-1019	0.788523
J12-4004	D11-1034	0.124602
J12-4004	E12-1026	0.867295
J12-4004	tsvetkov-wintner-2010-automatic	0.869276
J13-4007	D11-1034	0.890031
J13-4007	E12-1026	0.221608
J13-4007	J12-4004	0.77634
J14-2007	kirschenbaum-wintner-2010-general	0.78391
J14-2007	tsvetkov-wintner-2010-automatic	0.933357
J14-2007	C10-2144	0.882341
J14-2007	D11-1077	0.162692
kirschenbaum-wintner-2010-general	2004.tmi-1.1	0.5
kirschenbaum-wintner-2010-general	E09-1050	0.5
L16-1664	J12-4004	0.894042
L16-1664	J13-4007	0.89355
L16-1664	Q15-1030	0.84297
nir-etal-2010-morphologically	W07-0604	0.5
P16-1176	J12-4004	0.894708
P16-1176	J13-4007	0.925634
P16-1176	L16-1664	0.757859
P16-1176	Q15-1030	0.860162
P16-1176	W13-1736	0.867014
P16-1176	D11-1034	0.5
P17-1049	W13-1736	0.851892
P17-1049	Q15-1030	0.947891
P99-1013	P99-1013	0.0528894
Q15-1030	D11-1034	0.400305
Q15-1030	J12-4004	0.86649
Q15-1030	J13-4007	0.8378
Q15-1030	E12-1026	0.5
Q18-1024	P17-1049	0.909998
R19-1130	J12-4004	0.830103
R19-1130	J13-4007	0.879042
R19-1130	P16-1176	0.901275
R19-1130	P17-1049	0.850138
R19-1130	Q15-1030	0.905987
R19-1130	W15-3002	0.736286
tsvetkov-wintner-2010-automatic	C10-2144	0.5
W05-0702	2004.tmi-1.1	0.738135
W05-0702	itai-etal-2006-computational	0.5
W05-1108	W05-0702	0.5
W07-0909	itai-etal-2006-computational	0.829879
W07-0909	2004.tmi-1.1	0.912872
W12-0514	2004.tmi-1.1	0.796562
W12-0514	2010.amta-srw.4	0.900975
W12-0904	nir-etal-2010-morphologically	0.620794
W15-3002	E12-1026	0.928935
W15-3002	J12-4004	0.868278
W15-3002	J13-4007	0.843871
W15-3002	Q15-1030	0.931709
W15-3002	D11-1034	0.94851
