2012.amta-papers.13	pighin-etal-2012-faust	0.833398
2012.eamt-1.61	2011.mtsummit-wpt.7	0.890558
2012.eamt-1.61	2011.mtsummit-papers.63	0.780941
2012.freeopmt-1.7	2011.mtsummit-papers.63	0.814633
2012.freeopmt-1.7	W08-0332	0.87217
2013.mtsummit-papers.9	2012.amta-papers.13	0.424781
2013.mtsummit-posters.10	2011.mtsummit-wpt.7	0.89823
2015.eamt-1.9	W14-4015	0.5
2015.eamt-1.9	P12-3024	0.5
C14-1020	J08-2001	0.787599
C16-2001	P15-2113	0.887768
C16-2001	D15-1068	0.89046
C16-2001	S15-2047	0.903863
C16-2001	S15-2036	0.910076
C98-2159	P97-1031	0.5
D14-1027	W14-3352	0.726645
D14-1027	W10-1750	0.877508
D14-1027	W07-0738	0.935253
D14-1027	P14-1065	0.878614
D14-1027	C14-1020	0.886934
D14-1027	D14-1050	0.886979
D14-1049	W05-0620	0.767449
D14-1049	J08-2001	0.858282
D14-1049	Q13-1018	0.806529
D14-1049	W09-1201	0.5
D14-1050	C14-1020	0.793271
D15-1068	S15-2047	0.877035
D15-1068	S15-2036	0.541482
D15-1068	P15-2113	0.19975
D16-1165	P15-1078	0.879885
D16-1165	P16-2075	0.638784
D16-1165	S16-1137	0.835795
D16-1165	S15-2047	0.902818
D16-1165	S15-2036	0.912003
D18-1452	P15-2113	0.615975
D18-1452	P15-1078	0.900381
D18-1452	P16-2075	0.897508
D18-1452	S16-1137	0.897878
D18-1452	D15-1068	0.814627
D18-1452	N16-1084	0.905394
D18-1452	K17-1024	0.89338
D18-1452	D16-1165	0.935991
D18-1452	S16-1083	0.914124
E03-1038	W02-2004	0.764051
gencheva-etal-2017-context	nakov-etal-2017-trust	0.5
gimenez-marquez-2008-towards	P06-2003	0.5
H05-1081	W04-2412	0.881998
H05-1081	W05-0620	0.859115
H05-1081	W04-2415	0.848646
H05-1081	W05-0628	0.868909
I08-1042	P06-2003	0.842042
I08-1042	W07-0738	0.887688
J08-2001	W04-2412	0.733851
J08-2001	W05-0620	0.919702
J08-2001	W04-2415	0.828554
J08-2001	W05-0628	0.603848
J08-2001	S07-1008	0.800462
J08-2001	S07-1077	0.814405
J08-2001	J13-3006	0.5
J13-3006	W04-2412	0.876656
J13-3006	W05-0620	0.896889
J13-3006	N10-1058	0.848114
J13-3006	J08-2001	0.891986
J13-3006	P09-2019	0.908931
J17-4001	W07-0738	0.707228
J17-4001	W09-0440	0.876974
J17-4001	W10-1750	0.808317
J17-4001	P12-3024	0.890983
J17-4001	D14-1027	0.899067
J17-4001	P14-1065	0.865351
J17-4001	P15-1078	0.877827
J17-4001	W14-3352	0.889983
K17-1024	P15-1078	0.559126
K17-1024	P16-2075	0.644004
K17-1024	D15-1068	0.173955
K17-1024	N16-1084	0.911664
K17-1024	N16-1153	0.473014
K17-1024	S17-2003	0.046657
K17-1024	D16-1165	0.895205
K17-1024	S16-1083	0.894404
K17-1024	S15-2036	0.775796
N10-1058	W05-0620	0.899021
N10-1058	P09-2019	0.279698
N15-1121	Q13-1018	0.900111
N15-1121	W08-2121	0.852627
N15-1121	J13-3006	0.5
N15-1121	W09-1201	0.5
N16-1084	D15-1068	0.636014
N16-1084	S15-2047	0.844443
N16-1084	S15-2036	0.602545
N16-1153	S15-2047	0.46169
N16-1153	S16-1083	0.108575
N18-1070	N18-2004	0.808385
N18-1070	gencheva-etal-2017-context	0.834798
N18-1070	N18-5006	0.775642
N18-1070	karadzhov-etal-2017-fully	0.797992
N18-2004	karadzhov-etal-2017-fully	0.855688
N18-2004	gencheva-etal-2017-context	0.869644
N18-2004	N18-5006	0.869083
N18-2004	N18-1070	0.860201
N18-5006	gencheva-etal-2017-context	0.907961
P06-2003	W05-0826	0.5
P08-1063	W05-0620	0.882424
P08-1063	S07-1077	0.89617
P09-2019	W05-0620	0.840172
P09-5003	W04-2415	0.5
P09-5003	W08-2121	0.5
P09-5003	W09-1212	0.5
P09-5003	W05-0628	0.5
P09-5003	S07-1008	0.5
P09-5003	W07-0738	0.5
P09-5003	W08-2124	0.5
P09-5003	W08-0332	0.5
P09-5003	W05-0620	0.5
P09-5003	P09-2019	0.5
P09-5003	W09-1201	0.5
P09-5003	P08-1063	0.5
P09-5003	W04-2412	0.5
P12-3024	gimenez-marquez-2008-towards	0.746858
P13-4031	gimenez-marquez-2004-svmtool	0.683691
P13-4031	P12-3024	0.810313
P14-1065	W07-0738	0.784963
P14-1065	W09-0440	0.927179
P14-1065	W10-1750	0.883167
P15-1078	W10-1750	0.923317
P15-1078	W07-0738	0.52667
P15-1078	D14-1027	0.819258
P15-1078	P14-1065	0.735686
P15-1078	W14-3352	0.565452
P15-2113	S15-2047	0.84994
P15-2113	S15-2036	0.620958
P16-2075	P15-1078	0.661142
P16-2075	S16-1137	0.558982
P16-2075	N16-1153	0.859816
P16-2075	S16-1083	0.652512
P16-2075	S15-2036	0.343646
P98-2164	P97-1031	0.87924
Q13-1018	W05-0620	0.913586
Q13-1018	W09-1212	0.909451
Q13-1018	J08-2001	0.470243
Q13-1018	W08-2121	0.616614
Q13-1018	J13-3006	0.5
Q13-1018	W09-1201	0.5
R19-1141	gencheva-etal-2017-context	0.605665
R19-1141	N18-5006	0.895733
S01-1017	W01-0726	0.809627
S07-1077	W04-2415	0.897212
S07-1095	W03-0421	0.890417
S07-1095	H05-1081	0.897279
S07-1095	S07-1008	0.816864
S15-2036	S15-2047	0.437926
S15-2047	S15-2036	0.483036
S16-1083	S15-2047	0.907588
S16-1083	S15-2036	0.813812
S16-1083	P15-1078	0.5
S16-1083	P15-2113	0.5
S16-1083	S16-1137	0.5
S16-1083	N16-1084	0.5
S16-1083	P16-2075	0.5
S16-1083	D15-1068	0.5
S16-1137	P15-2113	0.3401
S16-1137	P15-1078	0.448296
S16-1137	P16-2075	0.558646
S16-1137	D15-1068	0.265429
S16-1137	N16-1084	0.557796
S16-1137	S15-2047	0.355744
S16-1137	S15-2036	0.557554
S17-2003	C16-2001	0.881977
S17-2003	S15-2036	0.824235
W02-2004	W01-0726	0.5
W03-0421	W01-0726	0.870152
W03-0421	W02-2004	0.561477
W03-1504	W02-2004	0.882393
W03-1504	E03-1038	0.880696
W04-0861	W04-0828	0.681474
W04-2412	W04-2415	0.477006
W04-2415	W04-2412	0.635591
W05-0620	W04-2412	0.350852
W05-0620	W05-0628	0.618126
W05-0628	W04-2415	0.347059
W05-0826	gimenez-marquez-2004-svmtool	0.552809
W06-3126	gimenez-marquez-2004-svmtool	0.810326
