2020.blackboxnlp-1.8	2020.emnlp-main.442	0.872458
2020.emnlp-main.368	D18-1543	0.5
2020.emnlp-main.368	W18-0207	0.5
2020.emnlp-main.442	D18-1543	0.899108
2020.emnlp-main.442	2020.blackboxnlp-1.8	0.761925
2020.sigtyp-1.1	N18-1083	0.844133
2020.sigtyp-1.1	W18-0207	0.747207
2020.sigtyp-1.1	N19-1156	0.642604
2020.sigtyp-1.1	P19-1382	0.844402
2020.sigtyp-1.1	J19-2006	0.848772
2020.sigtyp-1.1	D18-1543	0.916053
2020.sigtyp-1.1	2020.emnlp-main.368	0.920027
2021.eacl-main.38	N18-1083	0.930305
2021.eacl-main.38	W18-0207	0.942532
2021.eacl-main.38	N19-1156	0.928317
2021.eacl-main.38	P19-1382	0.863597
2021.eacl-main.38	2020.sigtyp-1.1	0.673001
2021.eacl-main.38	J19-2006	0.908887
2021.eacl-main.38	D18-1543	0.903419
2021.eacl-main.38	2020.emnlp-main.368	0.834918
2021.starsem-1.22	N18-1083	0.80958
2021.starsem-1.22	2021.eacl-main.38	0.736113
2021.starsem-1.22	N19-1156	0.902609
2021.starsem-1.22	J19-2006	0.915658
2021.starsem-1.22	D18-1543	0.866387
C16-1333	W16-4816	0.900908
D18-1543	N18-1083	0.545746
D19-6128	C16-1333	0.894016
D19-6128	E17-2039	0.851467
E17-2039	C16-1333	0.685288
J19-2006	N18-1083	0.697995
K18-3011	D18-1543	0.841915
K18-3011	W17-0225	0.857404
K18-3011	C16-1333	0.89768
N18-1083	W18-0207	0.707325
N18-1083	K17-2012	0.887927
P19-1382	N18-1083	0.898096
P19-1382	W18-0207	0.510671
P19-1382	N19-1156	0.624091
P19-1382	J19-2006	0.853583
P19-1382	D18-1543	0.696833
S18-1058	W17-0225	0.887854
S18-1058	C16-1333	0.897597
W16-4116	C16-1333	0.864903
W16-4816	C16-1333	0.925164
W17-0225	C16-1333	0.89848
W17-5043	C16-1333	0.848832
W18-0207	W16-4116	0.840006
W18-0518	W17-0225	0.910622
W18-0518	W17-0224	0.795209
W18-3401	W17-0225	0.850592
W18-3401	C16-1333	0.850199
