2021.sigdial-1.42	2020.sigdial-1.38	0.908065
C10-1061	W10-4415	0.88234
C10-1061	W10-1407	0.875031
J13-1006	C10-1061	0.247685
J13-1006	W10-1407	0.918098
J13-1006	W12-4615	0.853416
J13-1006	W10-4415	0.866819
kallmeyer-etal-2008-developing	W08-2316	0.5
kubler-etal-2008-compare	W06-1614	0.5
kubler-etal-2008-compare	P06-3004	0.5
L16-1658	W14-3912	0.889147
L18-1315	W17-5517	0.761107
maier-etal-2014-discosuite	C10-1061	0.5
N15-1134	W09-3808	0.801885
N15-1134	J13-1006	0.655071
N15-1134	W10-4415	0.778997
P09-2003	kallmeyer-etal-2008-developing	0.891948
P15-1116	J13-1006	0.823591
P15-1116	W12-4615	0.891802
P15-1116	W13-4917	0.913197
W06-1614	P06-3004	0.5
W08-1701	kallmeyer-etal-2008-developing	0.5
W08-2316	W08-2316	0.0523041
W08-2316	kallmeyer-etal-2008-developing	0.890865
W10-1407	W09-3808	0.873605
W10-1407	C10-1061	0.917711
W10-1407	kubler-etal-2008-compare	0.888142
W10-4415	C10-1061	0.880244
W10-4415	W09-3810	0.8051
W10-4415	W10-1407	0.852723
W12-3624	E09-1047	0.936618
W12-4615	C10-1061	0.852132
W12-4615	W10-1407	0.742211
W13-4917	J13-1006	0.798597
W13-4917	W06-1614	0.812546
W13-4917	kubler-etal-2008-compare	0.91565
W13-4917	W12-4615	0.809959
W13-4917	C10-1061	0.5
W13-5713	W09-3808	0.748267
W13-5713	J13-1006	0.916396
W13-5713	P09-2003	0.86361
W13-5713	W12-4615	0.845386
W13-5713	C10-1061	0.5
W13-5713	W10-4415	0.5
W14-6101	W06-1614	0.869625
W14-6101	W12-4615	0.850612
W16-0906	J13-1006	0.735165
W16-0906	maier-etal-2014-discosuite	0.898482
W16-0906	P15-1116	0.145893
W16-5808	L16-1658	0.930223
