2021.emnlp-main.489	2021.findings-acl.133	0.717951
2021.findings-acl.133	N18-3003	0.884126
2021.findings-acl.133	P18-1206	0.818896
C16-1038	N15-1009	0.716868
C16-1038	P15-2132	0.899567
C16-1038	P15-2032	0.908968
C16-1038	D16-1222	0.815342
C16-1038	P16-2002	0.842343
C16-1193	N15-1009	0.690831
C16-1193	P15-2132	0.872887
C16-1193	P15-2032	0.830449
C16-1193	D16-1222	0.817385
C16-1193	P16-2002	0.807908
D12-1031	D11-1030	0.549701
D15-1150	D12-1031	0.856126
D15-1150	N13-1139	0.80208
D15-1150	P13-1150	0.846594
D15-1150	D11-1030	0.90127
D15-1150	P14-2104	0.729771
D15-1150	N15-1009	0.917698
D15-1150	P15-2132	0.895137
D15-1150	P15-2032	0.918413
D15-1150	P15-1046	0.917735
D16-1222	N15-1009	0.230508
D16-1222	P15-2132	0.793123
D16-1222	P15-2032	0.758171
D16-1222	P15-1046	0.832935
D16-1222	C16-1193	0.854619
D17-1302	D15-1150	0.847344
D17-1302	C16-1038	0.73952
D17-1302	P15-1046	0.653527
D18-1106	N18-3003	0.845234
D18-1106	P18-1206	0.663071
N16-1032	W15-4319	0.894016
N16-1032	P13-1150	0.803768
N16-1032	P14-2104	0.844707
N16-1032	D15-1150	0.767334
N16-1032	P15-2132	0.78144
N16-1032	P15-2032	0.876667
N18-3003	N15-1009	0.833864
N18-3003	P17-1119	0.817956
N18-3003	P17-1060	0.872555
N18-3003	P15-2032	0.85901
N18-3003	C16-1038	0.844822
N18-3003	P15-1046	0.839201
N19-1379	N18-3003	0.469446
N19-1379	P18-1206	0.835144
N19-1379	P17-1060	0.820829
N19-2002	D17-1302	0.890714
N19-2002	D16-1222	0.899728
N19-2002	P17-1119	0.928056
N19-2002	C16-1193	0.860768
N19-2002	C16-1038	0.859196
P13-1150	D12-1031	0.643642
P13-1150	D11-1030	0.7148
P15-1046	D12-1031	0.858892
P15-1046	P13-1150	0.853578
P15-1046	D11-1030	0.907365
P15-1046	N15-1009	0.310738
P15-2032	P14-2104	0.612968
P15-2032	N15-1009	0.34724
P15-2032	P15-2132	0.543027
P15-2032	P15-1046	0.471341
P15-2032	D12-1031	0.776688
P15-2132	P15-1046	0.609734
P15-2132	N13-1139	0.525734
P15-2132	N15-1009	0.309831
P15-2132	P15-2032	0.517976
P16-2002	N13-1139	0.845447
P16-2002	P15-2132	0.866296
P16-2002	P15-2032	0.498603
P16-2002	P15-1046	0.929507
P16-2002	N15-1009	0.5
P17-1060	N15-1009	0.739317
P17-1060	D16-1222	0.91248
P17-1060	P17-1119	0.268559
P17-1060	P15-2132	0.857862
P17-1060	P15-2032	0.835715
P17-1060	C16-1193	0.943688
P17-1060	C16-1038	0.647854
P17-1060	P16-2002	0.914095
P17-1119	N15-1009	0.687347
P17-1119	D16-1222	0.931685
P17-1119	P17-1060	0.268354
P17-1119	P15-2132	0.868211
P17-1119	P15-2032	0.816611
P17-1119	C16-1193	0.943775
P17-1119	C16-1038	0.566274
P17-1119	P16-2002	0.91564
P18-1206	N15-1009	0.844478
P18-1206	P17-1119	0.823103
P18-1206	P17-1060	0.86349
P18-1206	P15-2032	0.861677
P18-1206	C16-1038	0.795614
P18-1206	P15-1046	0.817075
