2020.acl-tutorials.2	Q18-1041	0.890293
2021.computel-1.12	W17-0106	0.882084
bender-2014-language	W02-1502	0.5
bender-2014-language	W13-2710	0.5
C10-2123	W08-2203	0.847718
C10-2123	W02-1502	0.853541
C10-2123	P10-4001	0.877853
C10-2123	W02-1210	0.749932
C12-1016	P08-1111	0.896571
C12-1016	W02-1502	0.879549
flickinger-etal-2014-towards	D11-1037	0.5
I05-2035	W02-1210	0.802364
I05-2035	W02-1508	0.5
N16-4001	P14-1007	0.844733
N19-4022	W17-0118	0.848284
N19-4022	W13-2710	0.87228
P08-1111	I05-2035	0.895283
P08-1111	W02-1502	0.835733
P08-1111	W02-1508	0.897994
P08-1111	W02-1210	0.842074
P10-4001	I05-2035	0.893639
P10-4001	W02-1502	0.860814
W02-1502	W02-1210	0.532935
W02-1508	W02-1210	0.838186
W07-1218	I05-2035	0.924832
W07-1218	W02-1502	0.926425
W08-2203	I05-2035	0.922873
W08-2203	W02-1502	0.881677
W13-2710	W02-1502	0.855766
W14-2206	W02-1502	0.863376
W14-2206	C12-1016	0.828255
W14-2206	W13-2710	0.864585
W17-0110	W13-2710	0.115361
W17-0110	W14-2206	0.914079
W17-0110	bender-2014-language	0.855267
W17-0118	W02-1502	0.578084
W17-0118	W14-2206	0.845609
W17-5401	D11-1037	0.842048
W19-0105	W14-2206	0.737517
W19-0105	I05-2035	0.687073
W19-0105	W02-1502	0.745601
W19-0105	W13-2710	0.876023
W19-6005	W14-2206	0.065525
W19-6005	C12-1016	0.858237
W19-6005	W17-0118	0.887631
W19-6005	W19-0105	0.880491
xia-etal-2014-enriching	W13-2710	0.5
Y11-1025	W02-1502	0.874761
