2020.coling-main.454	J09-1005	0.711615
C00-2118	merlo-stevenson-2000-establishing	0.795113
C00-2118	E99-1007	0.833312
C00-2118	W99-0503	0.525476
C02-1146	J01-3003	0.5
C02-1146	W01-0705	0.5
D16-1010	W12-1701	0.843292
D16-1010	W14-2005	0.482495
D16-1010	W13-3525	0.803916
E03-1040	J01-3003	0.953197
E03-1040	P02-1027	0.864961
E03-1040	E99-1007	0.889135
E03-1040	W04-3213	0.5
E03-1040	W99-0503	0.5
E03-1040	W03-0410	0.5
E03-1040	W04-2411	0.5
E06-1043	Y05-1003	0.806975
H05-1111	W04-3213	0.5
J01-3003	W99-0503	0.792109
J01-3003	W98-1116	0.5
J01-3003	merlo-stevenson-2000-establishing	0.5
J08-2001	J01-3003	0.757374
J08-2001	H05-1111	0.811574
J08-2001	W04-3213	0.5
J09-1005	W07-1106	0.861217
J09-1005	E06-1043	0.723279
J09-1005	W07-1102	0.82404
J10-1002	J01-3003	0.629295
J10-1002	W04-2411	0.8692
J10-1002	W06-3815	0.915302
merlo-stevenson-2000-establishing	E99-1007	0.5
merlo-stevenson-2000-establishing	C00-2118	0.5
P02-1027	C02-1146	0.5
P02-1027	J01-3003	0.5
W01-0705	J01-3003	0.90031
W03-0410	E03-1040	0.5
W03-0410	E99-1007	0.5
W03-0410	J01-3003	0.5
W04-2411	C02-1146	0.5
W04-2411	J01-3003	0.5
W04-2411	W04-2605	0.5
W04-2605	C02-1146	0.5
W04-2605	J01-3003	0.5
W04-3213	J01-3003	0.5
W05-1005	W04-0401	0.5
W06-1207	W05-1005	0.867879
W06-1207	E03-1040	0.900401
W07-1102	W06-1207	0.853784
W07-1102	E06-1043	0.726073
W07-1106	E06-1043	0.917289
W11-0910	J08-2001	0.827612
W11-0910	W04-3213	0.5
W13-3525	W12-1701	0.498157
W14-2005	W13-3525	0.39444
W14-2005	J01-3003	0.5
W15-2412	W12-1708	0.837467
W18-0105	D14-1031	0.931396
Y05-1003	W05-1005	0.753669
Y05-1003	W04-0401	0.89097
Y05-1003	E06-1043	0.5
