2020.semeval-1.128	S17-2064	0.828529
2020.semeval-1.255	S19-2106	0.915513
2021.semeval-1.44	2021.semeval-1.60	0.837196
2021.semeval-1.60	2021.semeval-1.44	0.837196
A00-2009	A97-1056	0.805975
A97-1056	W96-0210	0.46849
E06-2007	W97-0322	0.861126
E06-2007	W04-2406	0.925635
N01-1011	A00-2009	0.504035
N04-3008	W97-0322	0.91322
N04-3008	W04-2406	0.409074
N06-4007	W04-2406	0.831015
N09-5005	N04-3012	0.114664
N10-1047	W06-2501	0.856083
N10-1047	N04-3012	0.314135
N13-3007	W06-2501	0.869331
N13-3007	N04-3012	0.567278
P05-3019	N04-3012	0.636798
P05-3027	W97-0322	0.848632
P05-3027	W04-2406	0.777003
P13-1166	W06-2501	0.861219
P13-1166	N10-1047	0.4317
P13-1166	J08-3010	0.5
S01-1034	A00-2009	0.835825
S01-1034	N01-1011	0.765634
S07-1086	P05-3019	0.244613
S07-1086	N04-3012	0.733627
S07-1086	W06-2501	0.5
S07-1087	N06-4007	0.830607
S07-1087	W04-2406	0.895827
S07-1087	W97-0322	0.5
S10-1081	N06-4007	0.890182
S10-1081	S07-1087	0.895808
S10-1081	W04-2406	0.860071
S12-1070	W06-2501	0.894406
S12-1070	N04-3012	0.762788
S13-2036	P05-3027	0.875369
S13-2036	N06-4007	0.786029
S13-2036	E06-2007	0.629016
S13-2036	S07-1087	0.751278
S13-2036	S10-1081	0.81876
S13-2036	W04-2406	0.812042
S14-2040	N04-3012	0.83584
S14-2040	W04-2406	0.789853
S14-2040	W06-2501	0.921368
S15-2076	E06-2007	0.727324
S15-2076	S07-1087	0.905586
S15-2076	S10-1081	0.837735
S15-2076	S13-2036	0.79393
S15-2076	W04-2406	0.676974
S16-1207	N04-3012	0.562626
S17-2070	P05-3019	0.659155
S17-2070	W06-2501	0.567258
S17-2070	N09-5005	0.828036
S17-2070	N04-3012	0.526264
W02-0806	S01-1034	0.717258
W02-0812	A00-2009	0.885284
W02-0812	N01-1011	0.834233
W02-0812	S01-1034	0.753921
W03-0301	W03-0309	0.824107
W04-0802	S01-1034	0.83931
W04-0839	W04-2404	0.635174
W04-0839	N01-1011	0.926133
W04-0839	S01-1034	0.85835
W04-0839	W02-0806	0.903012
W04-0850	W04-2404	0.915722
W04-0850	W04-0839	0.87156
W04-0850	A00-2009	0.847489
W04-0850	N01-1011	0.930049
W04-0850	S01-1034	0.845933
W04-2404	N01-1011	0.94804
W04-2404	S01-1034	0.905324
W04-2404	W02-0806	0.911048
W04-2406	W97-0322	0.902151
W05-0809	W03-0301	0.5
W06-2004	W97-0322	0.687559
W06-2004	E06-2007	0.824583
W06-2004	W04-2406	0.773666
W07-1002	A97-1056	0.604216
W11-0317	W06-2501	0.867577
W11-0317	W04-2406	0.930802
W11-0821	W04-2406	0.859272
W16-0322	W15-1206	0.82427
W16-6203	W15-2602	0.830778
W17-2313	W06-2501	0.873002
W97-0322	W96-0210	0.807078
W97-0322	A97-1056	0.80441
