A00-1020	W99-0104	0.822126
C02-1169	C00-1043	0.5
C02-1169	P01-1037	0.5
C04-1084	harabagiu-etal-2002-multidocument	0.5
C04-1100	N03-1022	0.5
C04-1100	C04-1084	0.5
C04-1100	P02-1005	0.5
C04-1100	P03-1002	0.5
harabagiu-bejan-2006-answer	P01-1037	0.5
harabagiu-etal-2002-multidocument	harabagiu-maiorano-2000-acquisition	0.5
J14-2004	bejan-harabagiu-2008-linguistic	0.952789
J14-2004	P10-1143	0.850275
J14-2004	C04-1100	0.281239
lacatusu-etal-2006-impact	C04-1084	0.5
lacatusu-etal-2006-impact	P05-1026	0.5
N03-1022	P02-1005	0.505389
P01-1037	C00-1043	0.5
P01-1037	P00-1071	0.5
P02-1005	C00-1043	0.5
P05-1026	C04-1084	0.885908
P05-1026	C04-1100	0.30758
P05-1026	P03-1002	0.5
P06-1114	P01-1037	0.487528
P06-1114	P05-1026	0.71852
P06-1114	P02-1005	0.318771
P06-1114	N03-1022	0.536472
P06-4007	C04-1084	0.883397
P06-4007	P05-1026	0.5
P10-1143	bejan-harabagiu-2008-linguistic	0.613547
P10-1143	C04-1100	0.791238
roberts-etal-2010-linguistic	C04-1100	0.5
roberts-etal-2010-linguistic	P03-1002	0.5
roberts-etal-2012-annotating	P10-1143	0.5
S10-1056	W99-0501	0.662003
S10-1056	P05-1026	0.826311
W01-1206	C00-1043	0.5
W01-1206	P00-1071	0.5
W04-0819	P03-1002	0.5
W04-2501	C00-1043	0.896089
W04-2501	P00-1071	0.817666
W04-2501	P03-1002	0.761453
W04-2502	C00-1043	0.871336
W04-2502	P00-1071	0.875055
W04-2505	C00-1043	0.873305
W04-2505	P01-1037	0.841954
W04-2505	P03-1002	0.905027
W04-2506	C00-1043	0.874019
W04-2506	P01-1037	0.850815
W06-0705	P05-1026	0.887492
W06-0705	P06-4007	0.819629
W06-0705	N03-1022	0.824732
W06-0705	C04-1100	0.822036
W06-0705	C04-1084	0.5
W06-0705	P06-1114	0.5
W06-3004	P05-1026	0.902947
W06-3004	C04-1084	0.840946
W06-3004	W04-2508	0.932093
W13-0118	S12-1055	0.675381
W13-0119	P10-1143	0.815714
W13-0119	roberts-etal-2012-annotating	0.903939
W13-0119	S12-1056	0.824706
W98-0720	P96-1051	0.837249
W99-0104	W98-0720	0.880771
