2005.mtsummit-papers.32	I05-1051	0.527089
2008.iwslt-evaluation.6	P08-2038	0.868481
2008.iwslt-evaluation.6	C08-1014	0.5
2009.iwslt-evaluation.7	P09-1036	0.5
2009.iwslt-evaluation.7	P08-2038	0.5
2021.acl-long.441	2020.acl-main.80	0.686386
C08-1127	P07-1090	0.871143
C10-2112	P07-1016	0.857524
C10-2112	I08-1008	0.23473
C10-2165	C04-1103	0.5
C10-2165	P04-1021	0.5
C10-2165	W09-3501	0.5
C10-2165	W09-3502	0.5
C10-2165	P09-1016	0.5
D09-1073	P07-1090	0.884642
D09-1073	P08-2038	0.916679
D09-1073	C08-1138	0.857272
D09-1073	P08-1064	0.5
D09-1108	C08-1138	0.5
D09-1108	P09-1020	0.5
D09-1108	P08-1064	0.5
D10-1043	D09-1108	0.366976
D10-1043	P09-1020	0.5
D10-1043	P08-1064	0.5
I05-1053	P04-1021	0.870234
I08-1008	P07-1016	0.5
I08-1049	P06-1142	0.920854
I08-1049	P04-1021	0.882708
I08-4003	P06-1142	0.680529
I08-4003	P04-1021	0.915219
I11-1135	C10-2165	0.138036
I11-1135	C04-1103	0.5
I11-1135	W09-3502	0.5
I11-1135	P09-1016	0.5
J10-3009	P08-2038	0.858008
J10-3009	P08-1064	0.846608
N10-1016	P09-1036	0.852114
O06-3004	O06-3004	0.0512899
O06-3004	P05-1064	0.429387
P06-1142	P04-1021	0.922903
P07-1016	P06-1142	0.188263
P07-1016	P04-1021	0.275649
P08-1064	P07-1090	0.843636
P09-1016	P07-1016	0.949704
P09-1016	P04-1021	0.917627
P09-1020	C08-1138	0.5
P09-1020	P08-1064	0.5
P09-1036	C08-1127	0.822854
P09-1037	P07-1090	0.5
P09-1106	C08-1014	0.832383
P09-1106	P08-1064	0.843256
P10-1090	P08-1064	0.833375
P10-1090	D09-1108	0.5
P10-1090	P09-1020	0.5
P10-1090	D09-1073	0.5
P16-1091	P14-2004	0.90801
W09-3501	P04-1021	0.5
W09-3502	P04-1021	0.5
W10-2401	P04-1021	0.5
W10-2401	W09-3501	0.5
W10-2402	P04-1021	0.854044
W10-2403	W10-2404	0.5
W11-3201	W10-2401	0.257521
W11-3201	W10-2402	0.5
W11-3201	P04-1021	0.5
W11-3201	W09-3501	0.5
W11-3202	P04-1021	0.839488
W12-4401	P04-1021	0.5
W12-4402	P04-1021	0.956117
W12-4402	W10-2401	0.455916
W12-4402	W11-3201	0.256256
W12-4402	W10-2402	0.5
W12-4402	W09-3501	0.5
W12-4402	W11-3202	0.5
W15-3901	P04-1021	0.5
W15-3902	W10-2402	0.5
W15-3902	P04-1021	0.5
W15-3902	W10-2401	0.5
W15-3902	W11-3202	0.5
W15-3902	W11-3201	0.5
W15-4615	P14-2004	0.717279
W16-2708	P04-1021	0.668693
W16-2709	P04-1021	0.691542
W16-2709	W10-2401	0.722231
W16-2709	W11-3202	0.5
W16-2709	W12-4402	0.5
W16-2709	W11-3201	0.5
W18-2408	P04-1021	0.453791
W18-2409	P04-1021	0.614661
W18-2409	W10-2401	0.712599
Y08-1004	P05-1064	0.919401
