2005.jeptalnrecital-court.10	devillers-etal-2004-french	0.869945
2009.jeptalnrecital-court.26	rosset-petel-2006-ritel	0.885696
2009.jeptalnrecital-court.26	toney-etal-2008-evaluation	0.881957
2011.jeptalnrecital-long.10	galibert-etal-2010-named	0.875256
2016.jeptalnrecital-demo.18	L16-1433	0.870596
2016.jeptalnrecital-jep.15	goryainova-etal-2014-morpho	0.885485
2020.jeptalnrecital-jep.8	W11-0411	0.781368
2020.lrec-1.556	I11-1142	0.788645
2020.lrec-1.556	E12-1018	0.802446
2020.lrec-1.556	goryainova-etal-2014-morpho	0.845632
2020.lrec-1.556	W11-0411	0.682334
ben-jannet-etal-2014-eter	E12-1018	0.5
ben-jannet-etal-2014-eter	W11-0411	0.5
ben-jannet-etal-2014-eter	I11-1058	0.5
C12-1055	W11-0411	0.885766
C12-1055	W12-3606	0.757456
C12-2079	W11-0411	0.934731
D11-1102	galibert-etal-2010-named	0.887135
devillers-etal-2004-french	antoine-etal-2002-predictive	0.5
dinarelli-rosset-2012-tree-structured	I11-1142	0.5
dinarelli-rosset-2012-tree-structured	D11-1102	0.5
dinarelli-rosset-2012-tree-structured	W11-0411	0.5
dinarelli-rosset-2012-tree-structured	I11-1058	0.5
dinarelli-rosset-2012-tree-structured	galibert-etal-2012-extended	0.5
E12-1018	W11-0411	0.809504
E12-1018	I11-1142	0.81477
E12-1018	I11-1058	0.5
F12-2028	W11-0411	0.887978
F13-1035	R11-1104	0.89772
F13-1035	quintard-etal-2010-question	0.869565
F13-1035	toney-etal-2008-evaluation	0.865525
galibert-etal-2010-hybrid	galibert-etal-2010-named	0.5
galibert-etal-2010-named	galibert-etal-2010-hybrid	0.5
galibert-etal-2012-extended	W11-0411	0.5
galibert-etal-2012-extended	I11-1058	0.5
galibert-etal-2012-extended	galibert-etal-2010-named	0.5
garcia-fernandez-etal-2010-macaq	toney-etal-2008-evaluation	0.5
goryainova-etal-2014-morpho	luzzati-etal-2014-human	0.5
I11-1058	galibert-etal-2010-named	0.873075
I11-1058	moreau-etal-2010-evaluation	0.810616
I11-1058	W11-0411	0.350134
I11-1142	I11-1058	0.866669
I11-1142	galibert-etal-2010-named	0.876245
I11-1142	W11-0411	0.861081
L16-1297	I11-1142	0.753925
L16-1297	goryainova-etal-2014-morpho	0.85429
L16-1366	W15-4660	0.410631
L16-1366	L16-1505	0.819925
L16-1505	L16-1366	0.819925
L16-1505	W15-4660	0.545287
L16-1534	I11-1058	0.840253
L16-1534	W12-3606	0.936307
P14-3005	toney-etal-2008-evaluation	0.5
quintard-etal-2010-question	bernard-etal-2010-question	0.5
R11-1104	quintard-etal-2010-question	0.581375
vasilescu-etal-2010-role	toney-etal-2008-evaluation	0.5
vasilescu-etal-2010-role	rosset-petel-2006-ritel	0.5
W03-2802	antoine-etal-2002-predictive	0.891043
W03-2802	devillers-etal-2002-annotations	0.918558
W12-0512	quintard-etal-2010-question	0.888898
W12-0512	toney-etal-2008-evaluation	0.833409
W12-3606	galibert-etal-2010-named	0.859086
W12-3606	I11-1058	0.836346
W12-3606	galibert-etal-2012-extended	0.588515
W12-3606	W11-0411	0.930226
W13-2321	I11-1142	0.822824
W13-2321	C12-1055	0.796018
W13-2321	I11-1058	0.890374
W13-2321	W11-0411	0.821738
W13-2321	W12-3606	0.874172
W17-2343	L16-1505	0.831443
