2020.lrec-1.154	R19-1123	0.894917
2020.lrec-1.154	L18-1407	0.747658
2020.lrec-1.154	L18-1183	0.836815
2020.lrec-1.750	R19-1123	0.892653
2020.lrec-1.750	L18-1407	0.880755
2020.lrec-1.750	P98-2166	0.595728
2020.lrec-1.750	L18-1183	0.866424
araujo-etal-2010-sinotas	R09-1059	0.5
J07-2004	W06-1409	0.695898
J07-2004	W02-2115	0.565138
L18-1183	L18-1407	0.604358
L18-1183	L18-1475	0.830747
L18-1183	J17-2006	0.802874
L18-1407	L18-1475	0.486423
L18-1407	L18-1183	0.604048
L18-1474	J17-2006	0.595872
L18-1474	L18-1183	0.776666
L18-1475	L18-1183	0.879877
L18-1476	J17-2006	0.893387
P15-2013	W06-1409	0.678905
pereira-etal-2012-corpus	J07-2004	0.5
R09-1042	J07-2004	0.800488
W06-1409	W02-2115	0.93619
W09-0633	W08-1135	0.464849
W13-4810	W06-1409	0.852397
W13-4816	W06-1409	0.754591
W13-4824	W06-1409	0.672891
