2020.iwpt-1.3	W19-6202	0.752559
2021.blackboxnlp-1.2	2020.coling-main.450	0.75116
2021.blackboxnlp-1.2	2020.iwpt-1.3	0.681102
E09-1053	P07-1021	0.947562
E09-1055	P07-1021	0.853683
E09-1055	P06-2066	0.945858
J13-2004	N09-1061	0.936127
J13-2004	E09-1053	0.839279
J13-2004	P06-2066	0.644042
J13-2004	E09-1055	0.736591
J13-2004	W06-1517	0.5
J13-2004	N10-1035	0.5
J13-2004	P07-1021	0.5
J15-2002	P10-1055	0.827264
J16-4009	Q15-1040	0.810581
J16-4009	P06-2066	0.360948
J16-4009	S14-2008	0.7848
J18-3004	N10-1035	0.876518
J18-3004	J15-2002	0.890049
J18-3004	Q14-1032	0.843929
K19-2001	J16-4009	0.942174
K19-2001	S15-2153	0.900924
K19-2001	S14-2008	0.915565
L16-1630	Q15-1040	0.86691
L16-1630	S15-2153	0.925074
L16-1630	S14-2008	0.928327
N09-1061	P06-2066	0.79325
N09-1061	E09-1055	0.585799
N10-1035	N09-1061	0.733957
N10-1035	P07-1021	0.883517
N10-1035	P06-2066	0.896161
N10-1035	E09-1055	0.547229
P07-1021	P06-2066	0.848215
P10-1055	E09-1053	0.930194
Q13-1022	P06-2066	0.833046
Q14-1032	E09-1053	0.810304
Q14-1032	P10-1055	0.787431
Q15-1040	S14-2008	0.859273
Q15-1040	S15-2153	0.851081
S14-2068	S14-2008	0.804837
S15-2153	S14-2008	0.363094
W06-1517	P06-2066	0.849766
W09-3811	P06-2066	0.802427
W11-2902	E09-1053	0.843824
W11-2902	N10-1035	0.339654
W12-4613	J13-2004	0.816552
W12-4616	N10-1035	0.845858
W12-4616	W11-2902	0.922779
W17-6312	L16-1630	0.902154
W17-6312	Q15-1040	0.931928
W17-6312	J16-4009	0.5
W19-6202	Q15-1040	0.892352
